tweet_id,label,tweet_text,Unnamed: 3,Unnamed: 4,Unnamed: 5
1.36034200296194e+18,1, a day dying from the so called covid �vaccine� reports vaccine pfizervaccine moderna,,,
1.38289633488625e+18,2,pranam message for today manifested in dhyan by truth love karm light nature consciousness fridaythoughts fridaymorning coronavirusindia covidindia  navratri thane ambedkarjayanti modiji narendramodi secondcovidwave covaxin,,,
1.37567341184687e+18,2,hyderabadbased  has sought funds from the government to ramp up production of its indigenously developed covid vaccine covaxin  the company has written to the  seeking rs  crore to ramp up,,,
1.38131090111929e+18,1,confirmation that chinese vaccines don�t have very high protection rates according to the director of the china centers for disease control gao fu sinovac effectiveness found to be as low as  by researchers in brazil lt is not useful,,,
1.36216555609119e+18,3,lab studies suggest pfizer moderna vaccines can protect against coronavirusvariant,,,
1.35128509007732e+18,1,still want to take the jab pfizerbiontech sideeffects  israelis suffer facial paralysis after taking pfizer covid jab amid influx of reports detailing adverse effects,,,
1.37733340366669e+18,2,this time aerol�neas flight ar goes to moscow to pick up the sputnikv vaccines there were about  flights between buenos aires argentina and moscow russia  follow flight ar at radarbox aerol�neasargentinas vaccines radarbox,,,
1.36334422108464e+18,3,covaxin effective against mutant virus strains icmr  thanks to dr jee amp health minister dr harsh vardhan jee for promoting indias first indigenous covid vaccine from bharat biotech  � ,,,
1.3725800128225e+18,3,safe and effective oxfordastrazeneca,,,
1.3675067538905e+18,2,the day after the moderna covidvaccine my arm is a little sore and i am a little more fatigued than usual my grandparents had no noticeable effects though,,,
1.38084252665611e+18,3,not a girl but part of the moderna club ,,,
1.38453562626811e+18,2,when we can get moderna and pfitzer vaccine in india,,,
1.38155928910236e+18,2,cameroon receives   doses of sinopharm covid vaccine cameroon sinopharm vaccines covid,,,
1.3828447198483e+18,2,india at  new cases of coronavirus with  deaths in the last  hours covid covid covidisairborne covaxin covid covid covidiots covidindia coronavirusindia coronacurfew corona worldometer covishield,,,
1.3688717276279e+18,3,congrats to the amazing scientists who created coronavirus vaccines to end the pandemic science scientists pfizer moderna astrazeneca janssen cdnpoli,,,
1.38200228321116e+18,2,covishield vs covaxin vs modernapfizer � science behind covid vaccines and careers in vaccineresearch,,,
1.38290426574468e+18,2,ethealthworld  haffkine institute gets nod to produce covaxin covaxin covidvaccine haffkineinstitute bharatbiotech production,,,
1.383787759505e+18,3,embarrassing crimea russia everything is open business as usual ontario reporting  cases of covid  new cases in toronto lockdown closed business church no family no hope mentalhealth canada get out of syria sputnikv  effective jesus,,,
1.37772942678441e+18,2,officially a moderna gay ,,,
1.38237589103725e+18,3,breaking serbia starts sputnikv production rdif amp institute of virology vaccines and sera �torlak� join forces to bring more sputnik v vaccines to the world,,,
1.36745018694404e+18,3,good day yesterday my  year old dad got his second moderna shot such a relief,,,
1.34705160324161e+18,3,got the pfizerbiontech vaccine ,,,
1.38204792116042e+18,2,abusing atmanirbhar bharat as a political tool has now forced us to import vaccines when in  our great government peddled this warped concept to stop approved foreign vaccines from being sold in india while promoting and exporting covaxin before completing clinical trials,,,
1.36735338869067e+18,3,it�s been about  hrs since i received the nd dose of moderna and i feel fine im off the next two days then back to work on saturday hydrate vitaminc rest selfcare mindfulness wellbeing drinkwater mywhy covidvaccination igotmyshot,,,
1.38154613897357e+18,3,sputnikv at  efficiency is far ahead of covishield and covaxin,,,
1.38217408798482e+18,3,one more to go firstdosedone moderna thankful,,,
1.38287008251519e+18,2,i got the second dose of my moderna vaccine yesterday and so far the only side effect has been pretty bad but manageable soreness in the injected arm,,,
1.37333904003705e+18,3,just got my nd moderna shot my mom amp grandma got johnsonandjohnson amp pfizer we  have deathly allergies but had zero allergic or adverse reactions  don�t let allergies stop you from getting the covidvaccine,,,
1.36759925845565e+18,2,especially because we lack data on johnsonandjohnson vaccine efficacy specifically against the b variant which is fueling the current surge there is precedent to granting eua before final data from phase  is available as in sputnikv and covaxin,,,
1.34988884713662e+18,3,it happened covidvaccine pfizerbiontech igotmyvaccineatuhn uhn,,,
1.3824514384886e+18,2,got my first dose of the moderna vaccine i�m not sure it�s working  jeff bezos hasn�t sent in my check is this thing on sarcasm getvaccinated moderna covidvaccine,,,
