tweet_id,label,tweet_text,,,
1.36034200296194E+018,1,"4,000 a day dying from the so called Covid-19 �vaccine� @DailyBeast reports. #vaccine #PfizerVaccine #Moderna 

https://t.co/p1nQWWZpk4",,,
1.38289633488625E+018,2,Pranam message for today manifested in Dhyan by @meenapranam #truth #love #karm #light #nature #consciousness #FridayThoughts #fridaymorning #CoronavirusIndia #COVID19India #?????_???????? #navratri #Thane #AmbedkarJayanti2021 #ModiJi #NarendraModi #SecondCOVIDWave #Covaxin https://t.co/bQNoMVowJg,,,
1.37567341184687E+018,2,"Hyderabad-based ?@BharatBiotech? has sought funds from the government to ramp up production of its indigenously developed Covid-19 vaccine, #Covaxin .
The company has written to the ??@DBTIndia? seeking Rs 100 crore to ramp up. https://t.co/wjWlVIGMC4",,,
1.38131090111929E+018,1,"Confirmation that Chinese #vaccines ""don�t have very high protection rates"", according to the director of the China Centers for Disease Control, Gao Fu.

#Sinovac effectiveness ""found to be as low as 50.4% by researchers in Brazil""; &lt;50% is 'not useful'.

https://t.co/S2OoHjd7Do",,,
1.36216555609119E+018,3,"Lab studies suggest #Pfizer, #Moderna vaccines can protect against #coronavirusvariant
https://t.co/NPaFA68m57",,,
1.35128509007732E+018,1,"Still want to take the #jab?
#PfizerBioNTech
#sideeffects 

13 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab, amid influx of reports detailing adverse effects
https://t.co/RYitPGzuaV",,,
1.37733340366669E+018,2,"This time, Aerol�neas flight AR1068 goes to Moscow to pick up the #SputnikV vaccines.

There were about 11 flights between Buenos Aires (Argentina) and Moscow (Russia). ??????

Follow flight #AR1068 at RadarBox:
https://t.co/jQD1ajKDfW

#Aerol�neasArgentinas #Vaccines #RadarBox https://t.co/A0Evyzf57z https://t.co/YhRBawRXm6",,,
1.36334422108464E+018,3,"#Covaxin effective against mutant virus strains: ICMR ??

Thanks to Dr. @Swamy39 jee &amp; Health Minister, Dr. Harsh Vardhan jee for promoting India's first indigenous Covid Vaccine from Bharat Biotech !! � ??

https://t.co/6wSwiSaIZt https://t.co/SK7ECsgUOz",,,
1.3725800128225E+018,3,Safe and effective. #OxfordAstraZeneca,,,
1.3675067538905E+018,2,The day after the #Moderna #COVID19Vaccine... My arm is a little sore and I am a little more fatigued than usual. My grandparents had no noticeable effects though.,,,
1.38084252665611E+018,3,@syd_m39 Not a girl but part of the #Moderna club ?,,,
1.38453562626811E+018,2,"When we can get #moderna and #pfitzer Vaccine in India?
@narendramodi 
@MoHFW_INDIA",,,
1.38155928910236E+018,2,"Cameroon receives 200 000 doses of Sinopharm Covid-19 vaccine
https://t.co/pmc6VFJ91I

#Cameroon #Sinopharm #Vaccines #Covid19",,,
1.3828447198483E+018,2,#India at 216850  new cases of #coronavirus with 1183 deaths in the last 24 hours. #COVID19 #COVID #COVIDisAirborne #Covaxin #COVID?19 #COVID #COVIDIOTS #COVID19India #CoronavirusIndia #CoronaCurfew #Corona #worldometer #covishield https://t.co/TnusX1UkHJ,,,
1.3688717276279E+018,3,"@RachelNotley @GovCanHealth @CPHO_Canada 

Congrats to the amazing scientists who created #coronavirus #vaccines to end the #pandemic.????? 

#science #scientists #Pfizer #Moderna #AstraZeneca #Janssen #cdnpoli https://t.co/ZiunBgnVcP",,,
1.38200228321116E+018,2,"#Covishield vs #Covaxin vs Moderna/Pfizer � Science Behind COVID-19 Vaccines and Careers in #VaccineResearch
 https://t.co/qkg9lRGEZZ

@im_sandipan @PavanSomwanshi1 @Sanjibchat @BiomedicalZone @IAmBiotech @FierceBiotech @ScienceNatty @teamstoodnt",,,
1.38290426574468E+018,2,"ETHealthworld | Haffkine Institute gets nod to produce Covaxin

#Covaxin #CovidVaccine #HaffkineInstitute #BharatBiotech #production 
https://t.co/10wgSIdlAo",,,
1.383787759505E+018,3,"@CBCAlerts EMBARRASSING Crimea Russia everything is open business as usual. Ontario reporting 4250 cases of #COVID19 1392 new cases in Toronto #lockdown Closed business, Church ,no family, No Hope #MentalHealth Canada get out of Syria #SputnikV 91.6% effective #Jesus https://t.co/jsi3umF2Xf",,,
1.37772942678441E+018,2,Officially a #Moderna gay ?,,,
1.38237589103725E+018,3,"#BREAKING: #Serbia starts #SputnikV production! 

RDIF &amp; Institute of Virology, Vaccines and Sera �Torlak� join forces to bring more Sputnik V vaccines to the world!  https://t.co/kpDxTz5D3l",,,
1.36745018694404E+018,3,Good day yesterday! My 90 year old Dad got his second #Moderna shot!  Such a relief! https://t.co/bIf3ufJffY,,,
1.34705160324161E+018,3,Got the #PfizerBioNTech vaccine !!,,,
1.38204792116042E+018,2,"Abusing #atmanirbhar Bharat as a political tool has now forced us to import vaccines, when in 2020 our great Government peddled this warped concept to stop approved foreign vaccines from being sold in India while promoting and exporting #covaxin before completing clinical trials https://t.co/brE9VugHjx",,,
1.36735338869067E+018,3,"?It�s been about 10 hrs since I received the 2nd dose of #Moderna and I feel fine.  I'm off the next two days, then back to work on Saturday.?  #Hydrate #VitaminC #Rest #SelfCare #Mindfulness #WellBeing #DrinkWater #MyWhy #COVID19Vaccination #IGotMyShot https://t.co/4jIsPPmhdK",,,
1.38154613897357E+018,3,@sanket #SputnikV  at 91% efficiency is far ahead of #Covishield and #Covaxin.,,,
1.38217408798482E+018,3,One more to go #firstdosedone #Moderna thankful @SutterHealth @SCCgov,,,
1.38287008251519E+018,2,I got the second dose of my #Moderna #vaccine yesterday and so far the only side effect has been (pretty bad but manageable) soreness in the injected arm.,,,
1.37333904003705E+018,3,"Just got  my 2nd #moderna shot. My mom &amp; grandma got #johnsonandjohnson &amp; #pfizer. We 3 have deathly allergies, but had zero #allergic or adverse reactions ! Don�t let allergies stop you from getting the #COVID19Vaccine",,,
1.36759925845565E+018,2,Especially because we lack data on #johnsonandjohnson vaccine efficacy specifically against the #B117 variant which is fueling the current surge. There is precedent to granting EUA before final data from phase 3 is available as in #SputnikV and #Covaxin. @aslavitt46 @US_FDA,,,
1.34988884713662E+018,3,It happened!!!! #CovidVaccine  #PfizerBioNTech #IGotMyVaccineAtUHN  #UHN https://t.co/QrwNYiixEv,,,
1.3824514384886E+018,2,Got my first dose of the Moderna vaccine. I�m not sure it�s working - Jeff Bezos hasn�t sent in my check. Is this thing on?? #sarcasm #getvaccinated #moderna #COVID19Vaccine,,,
1.38317335346102E+018,2,"TRICARE�s #GotYour6! The safety of you and your family are our top priority. On April 19, #Pfizer and #Moderna vaccine appointments will be open to all who are eligible and authorized to receive a vaccine at @DeptofDefense sites. Visit: https://t.co/yCGgjJcCUu
 #COVIDVaccine https://t.co/MQZHM42xeT",,,
1.38189411354132E+018,2,"Russia's Covid vaccine Sputnik V has been cleared for emergency use by the Drugs Controller General of India.
#SputnikV #COVID19 #Russia #India #Emergency #EmergencyMedicine https://t.co/agrcdBKaRk",,,
1.38408412240291E+018,3,"@catcheronthesly Let us change the goal post. So now this is between you and me and not related to CONG or MMS

Yes, like COVAXIN, they should have given emergency approval to #SputnikV and maybe others and should have allowed people to pay and get #vaccinated with #vaccine of their choice",,,
